 RTP ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
0 7.710953819771195 201.9 -293.0999999999999 22765.662 41.547066225660146 46.12631453799449 -27.778825 -49.139294 12170 -5.5470000000000015 6925910.0 683340.0
1 13.554856499171507 206.94 -282.71000000000004 22765.672000000002 35.02168611764432 39.50299173323851 -27.779964 -49.139294 12170 -12.127 6925784.0 683338.0
2 18.58499541009439 208.8 -271.1099999999999 22765.681 24.634501851147558 29.016918112608657 -27.781106 -49.13930300000001 12170 -22.57 6925657.0 683335.0
3 20.724484921641093 203.08 -259.1400000000001 22765.69100000001 15.386542938365192 19.670241911296085 -27.782253000000004 -49.139308 12170 -31.873 6925530.0 683333.0
4 18.607664821000547 198.66 -248.0999999999999 22765.701 11.954358671868427 16.13916829066624 -27.783403000000003 -49.139314 12170 -35.361 6925403.0 683330.0
5 12.68363200672864 195.58 -238.27999999999997 22765.711 12.741399759086065 16.827492089353733 -27.784553000000002 -49.139319 12170 -34.629 6925276.0 683328.0
6 4.885529956059944 205.84 -229.95000000000005 22765.721 15.629862041537272 19.616462491484693 -27.785703 -49.139319 12170 -31.796 6925148.0 683326.0
7 -2.2968995267431946 220.36 -222.03999999999996 22765.731 19.626903128754908 23.514786290172186 -27.78685 -49.139319 12170 -27.854 6925021.0 683324.0
8 -7.586427185545945 191.19 -213.58000000000004 22765.742000000002 22.293944215972658 26.08311008885961 -27.787994 -49.139314 12170 -25.241999999999997 6924894.0 683322.0
9 -10.89876939775829 167.18 -205.5 22765.752 23.61501481538588 27.306582122738327 -27.789136 -49.13930300000001 12170 -23.974 6924768.0 683322.0
10 -13.154927489197924 192.05 -196.03999999999996 22765.764 25.83773196374718 29.43109817937787 -27.790275 -49.139275 12170 -21.804000000000002 6924641.0 683323.0
11 -15.32776526156857 211.71 -185.47000000000003 22765.776 26.383027916874923 29.878967632573882 -27.791414000000003 -49.139239 12170 -21.311 6924515.0 683324.0
12 -17.996127513094706 223.66 -174.54999999999995 22765.789 25.559774577431806 28.95863192440465 -27.79255 -49.139192 12170 -22.185 6924389.0 683327.0
13 -21.270053958969648 224.43 -164.07000000000005 22765.801 24.476295884274176 27.777898796918002 -27.793689 -49.13915 12170 -23.32 6924263.0 683329.0
14 -24.810553293435866 220.63 -154.69000000000005 22765.814 24.631238386349892 27.834812272874885 -27.794831 -49.139111 12170 -23.217 6924136.0 683331.0
15 -28.238786298338372 220.35 -145.09000000000003 22765.826 26.402759693192266 29.509079145388235 -27.795969 -49.139072 12170 -21.497 6924010.0 683333.0
16 -31.304124983945538 214.64 -135.59000000000003 22765.837000000003 27.62683029260559 30.63555117926696 -27.797110999999997 -49.13905 12170 -20.326 6923884.0 683333.0
17 -33.772621016908005 208.19 -127.17999999999995 22765.849 29.312322087252262 32.222669816589146 -27.79825 -49.139031 12170 -18.694000000000006 6923757.0 683333.0
18 -35.4578123446776 207.98 -118.50999999999999 22765.86 30.756392686665592 33.56914185046781 -27.799394 -49.139016999999996 12170 -17.303 6923631.0 683333.0
19 -36.019798518507564 205.13 -109.94000000000005 22765.871 32.39165912759775 35.10586306847265 -27.800539 -49.139006 12170 -15.722000000000001 6923504.0 683332.0
20 -35.276793476495506 197.32 -101.38 22765.882 33.72415092224454 36.33998170579484 -27.801683 -49.138989 12170 -14.443 6923377.0 683332.0
21 -33.3027056653204 180.47 -94.46000000000004 22765.894 33.18564271689121 35.70310034311697 -27.802828 -49.138964 12170 -15.035 6923250.0 683332.0
22 -30.815812045617147 152.97 -89.94000000000005 22765.90600000001 29.870585218967037 32.290013819073856 -27.803969 -49.138928 12170 -18.402 6923123.0 683334.0
23 -28.662347886547145 148.78 -85.97000000000003 22765.917999999998 26.04988117209478 28.371883272269926 -27.805108 -49.138892 12170 -22.275 6922997.0 683335.0
