 RTP ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
0 -175.3488653578889 146.91 -344.87 -16.200454999999998 -51.240482 22710 -218.81808027727203 -188.04359741995916 38.5 8208870.03 474296.07
1 -133.15155681515722 126.55 -347.49 -16.199453 -51.240418 22710 -231.49524524032586 -200.95844058917342 24.081 8208980.97 474302.76
2 -84.39371542877484 112.11 -347.61 -16.198447 -51.240349 22710 -225.9079057257316 -195.6165236868869 27.924 8209092.21 474310.06
3 -37.31644247700871 99.24 -345.91 -16.197429999999994 -51.240277 22710 -202.8700213666024 -172.82916659984508 49.199 8209204.68 474317.64
4 -1.4621108251771915 89.79 -343.98 -16.196405 -51.24022100000001 22710 -183.34388978021974 -153.53363132917107 66.941 8209318.07 474323.45
5 16.45880138813625 84.98 -341.97 -16.195369 -51.24018 22710 -177.66477675442061 -148.0689687515164 70.811 8209432.68 474327.77
6 15.102251120188285 94.55 -342.77 -16.194328 -51.24016 22710 -171.01392097900091 -141.60488806171668 75.634 8209547.91 474329.71
7 1.8951169039781988 141.06 -344.38 -16.193282999999994 -51.24016 22710 -83.00141453662577 -53.754760844151185 161.806 8209663.45 474329.58
8 -13.774998038506162 164.14 -346.38 -16.192235999999998 -51.240177 22710 -82.51761934665214 -53.4122800610713 160.438 8209779.28 474327.66
9 -24.551800545617777 157.52 -347.92 -16.191183 -51.240213 22710 -140.76219934758214 -111.77409848575985 100.324 8209895.73 474323.66
10 -28.11720964218802 144.29 -347.30999999999995 -16.19013 -51.240255 22710 -175.5475807321927 -146.6696395146591 63.667 8210012.18 474319.07
11 -26.99490975151714 123.29 -344.85 -16.189067 -51.240299 22710 -171.48525592058706 -142.71562020696786 65.837 8210129.86 474314.18
12 -27.004621369841544 116.01 -340.86 -16.187994 -51.240335 22710 -147.10463355228902 -118.45540686278177 88.314 8210248.46 474310.19
13 -34.25026327434435 125.95 -334.32000000000005 -16.186911 -51.240366 22710 -90.96442502584243 -62.44432558855402 142.533 8210368.3 474306.78
14 -53.2685557602051 156.12 -325.55999999999995 -16.185814 -51.240382 22710 -37.401403058230756 -9.030478697868944 194.156 8210489.67 474304.86
15 -84.2362102630595 206.65 -318.98 -16.184703 -51.240385 22710 -31.397493120087265 -3.195551702733752 198.201 8210612.57 474304.41
16 -120.47199373124917 194.75 -313.86 -16.183581 -51.240366 22710 -58.14674193154818 -30.14421794096748 169.482 8210736.71 474306.35
17 -152.47042295751373 155.81 -308.5499999999999 -16.18245 -51.240335 22710 -100.71073659744364 -72.92309297459988 124.938 8210861.77 474309.47
18 -171.71387313164178 127.22 -303.65 -16.181307999999998 -51.240302 22710 -140.91706442935032 -113.349540002273 82.73299999999998 8210988.07 474312.88
19 -173.35060368585224 118.99 -299.54 -16.180161 -51.240282 22710 -159.00132184142348 -131.63701100788577 62.635 8211114.97 474314.81
20 -158.21487111652706 126.56 -295.91 -16.179006 -51.240277 22710 -156.3372534479613 -129.1597188405986 63.265 8211242.8 474315.26
21 -130.74777420596342 130.36 -293.11 -16.177847 -51.240285 22710 -159.7028549933022 -132.69464536252437 57.855 8211370.93 474314.22
22 -97.2259795555621 123.57 -290.77 -16.176689 -51.240307 22710 -162.02606335488906 -135.16928759412016 53.482 8211499.05 474311.69
23 -63.76593061163452 118.02 -289.44000000000005 -16.175528 -51.240338 22710 -172.2428590280671 -145.52729302437075 41.207 8211627.49 474308.27
24 -36.515992543413404 104.61 -289.97 -16.174369 -51.240366 22710 -198.11770951921147 -171.54651279498927 13.28 8211755.62 474305.15
25 -19.502258127142962 86.47 -289.30999999999995 -16.173214 -51.24038 22710 -238.24004932566044 -211.83065894156837 -28.884 8211883.44 474303.52
26 -13.952415086623905 76.2 -284.55999999999995 -16.172056 -51.24038 22710 -159.0429674278451 -132.81358017919777 48.272 8212011.57 474303.37
27 -19.710817989782782 100.95 -276.4 -16.170892000000002 -51.240363 22710 -37.14064488881744 -11.113496807309305 168.13 8212140.32 474305.0
28 -33.694218452667286 118.99 -266.66 -16.169719 -51.240341 22710 -81.95586958788981 -56.139344835015706 121.258 8212269.99 474307.22
29 -49.540324239374236 129.97 -256.08000000000004 -16.168533 -51.240313 22710 -99.10780503484597 -73.51128746539128 102.027 8212401.2 474310.04
30 -59.24009541637003 152.15 -244.59000000000003 -16.167339000000002 -51.240274 22710 -98.5724863362366 -73.2114388911646 100.473 8212533.33 474314.04
31 -55.826996883069725 181.46 -235.47000000000003 -16.166128 -51.240216 22710 -96.75361593535473 -71.65560507583088 100.181 8212667.3 474320.12
32 -37.73785307004181 204.01 -227.67999999999995 -16.164914000000003 -51.240157 22710 -95.82064940290779 -70.98612917485474 98.998 8212801.59 474326.2
33 -9.389345466380824 212.34 -220.66 -16.163695 -51.240096 22710 -93.1250863101778 -68.55852161802663 99.569 8212936.49 474332.58
34 21.74421932975612 206.06 -214.17 -16.162475 -51.240038 22710 -90.96852726637758 -66.66618456248807 99.6 8213071.38 474338.65
35 49.16215620208108 201.63 -206.6 -16.161253 -51.239985 22710 -77.1557107393612 -53.11108526950002 111.28 8213206.59 474344.14
36 68.86654965479553 198.78 -198.30999999999997 -16.160028 -51.239941 22710 -47.530762767482535 -23.733482061528694 138.764 8213342.1 474348.73
37 79.45552822552852 194.75 -190.35 -16.1588 -51.239905 22710 -12.982561361303256 10.577612882614346 171.16299999999995 8213477.92 474352.43
38 81.99933457366402 191.51 -182.6 -16.15757 -51.23988 22710 12.691814900880331 36.02861457364696 194.679 8213614.04 474354.95
39 78.93573959332618 184.11 -173.39999999999995 -16.156336 -51.239874 22710 36.42991635938677 59.56797728043893 216.246 8213750.47 474355.38
40 71.5018822342147 177.82 -164.32000000000005 -16.155097 -51.239891 22710 59.547564048707244 82.51445579019301 237.174 8213887.51 474353.44
41 60.76837214293468 173.99 -157.26 -16.153858 -51.239935 22710 78.01312009496044 100.84449070178452 253.439 8214024.54 474348.53
42 48.144125609313605 169.36 -150.55999999999997 -16.152620000000002 -51.24001 22710 89.31602094687089 112.0510894654611 262.529 8214161.58 474340.35
43 33.99437058079624 165.99 -145.42999999999995 -16.151383 -51.240105 22710 97.43657672141278 120.10075289479981 268.434 8214298.3 474330.09
44 19.08869510739152 161.29 -140.32000000000005 -16.150147 -51.240213 22710 107.4446476691333 130.05568843564774 276.221 8214435.02 474318.35
45 4.769215725391845 157.12 -133.87 -16.148908 -51.24031 22710 118.87222099695812 141.41540896136027 285.427 8214572.05 474307.8
46 -5.7513088423809675 153.86 -127.20000000000003 -16.14767 -51.240388 22710 119.67308053526995 142.12357997976238 284.014 8214709.08 474299.32
47 -7.944744163263419 149.75 -119.45000000000003 -16.146428 -51.240444 22710 109.00100795631857 131.32982394741458 271.132 8214846.42 474293.22
48 2.035860916143167 144.41 -111.53999999999996 -16.145186 -51.240471 22710 86.80302702043423 108.9745115132275 246.735 8214983.77 474290.09
49 24.70033906639756 138.8 -103.89999999999998 -16.143945000000002 -51.24048 22710 70.16229503036865 92.15149232774776 227.903 8215121.12 474289.04
50 55.94864165946278 135.51 -96.94000000000004 -16.142703 -51.24048 22710 66.03224648344411 87.82847842655072 221.585 8215258.47 474288.88
51 88.10047277601646 134.11 -90.33000000000004 -16.141459 -51.240471 22710 78.04565900302578 99.63782176494736 231.409 8215396.12 474289.61
52 111.61703541737788 133.87 -84.49000000000002 -16.140220000000006 -51.240446 22710 89.36788316223522 110.73547176135729 240.558 8215533.17 474292.12
