ALTURA GPSALT LAT LONG Line MAGIGRF X Y
119.18 835.68 -16.148278 -51.27806 22630 107.153 8214636.71 470271.76
121.55 828.26 -16.147161 -51.278068 22630 97.186 8214760.23 470270.7
119.0 819.97 -16.146036 -51.278074 22630 79.396 8214884.68 470269.94
116.46 810.44 -16.144897 -51.278074 22630 83.691 8215010.66 470269.77
119.91 800.24 -16.14375 -51.278063 22630 111.268 8215137.56 470270.78
123.23 790.38 -16.142592 -51.278043 22630 136.307 8215265.69 470272.69
129.72 781.37 -16.141428 -51.278018 22630 147.029 8215394.44 470275.19
151.88 772.48 -16.14025 -51.277993 22630 163.158 8215524.73 470277.68
157.82 763.95 -16.13907 -51.277971 22630 166.112 8215655.32 470279.88
154.75 755.35 -16.137881 -51.277957 22630 162.056 8215786.84 470281.19
153.68 746.36 -16.136689 -51.277946 22630 157.917 8215918.66 470282.2
157.55 736.77 -16.135492 -51.277935 22630 131.094 8216051.09 470283.21
173.39 725.33 -16.134289 -51.277913 22630 102.384 8216184.14 470285.41
195.81 712.55 -16.133078 -51.277888 22630 76.713 8216318.11 470287.9
202.82 699.28 -16.131856 -51.277863 22630 53.077 8216453.31 470290.39
184.5 689.95 -16.130625 -51.27786 22630 84.758 8216589.44 470290.5
204.87 684.4 -16.129392 -51.277885 22630 157.181 8216725.86 470287.65
221.6 677.8 -16.128156 -51.277927 22630 159.959 8216862.59 470283.01
221.4 669.2 -16.126917 -51.277979 22630 130.553 8216999.62 470277.18
219.55 658.83 -16.125678 -51.278035 22630 107.936 8217136.66 470271.05
219.35 648.14 -16.124431 -51.278085 22630 101.737 8217274.61 470265.52
212.34 638.35 -16.123178 -51.278116 22630 103.924 8217413.19 470262.07
204.41 629.63 -16.121923 -51.278121 22630 102.469 8217552.07 470261.28
194.95 621.61 -16.120664 -51.278107 22630 98.081 8217691.26 470262.58
187.48 614.82 -16.119403 -51.278082 22630 86.33 8217830.77 470265.07
184.7 608.73 -16.118142 -51.27806 22630 77.577 8217970.27 470267.25
186.29 603.31 -16.116884 -51.278038 22630 77.413 8218109.47 470269.44
188.14 597.69 -16.115631 -51.278024 22630 79.271 8218248.05 470270.74
180.2 591.77 -16.114378 -51.278013 22630 79.089 8218386.63 470271.74
165.53 586.13 -16.113128 -51.278002 22630 60.877 8218524.9 470272.74
155.2 580.88 -16.111881 -51.27798 22630 43.527 8218662.87 470274.93
150.12 575.54 -16.110634 -51.277938 22630 24.476 8218800.83 470279.2
143.01 569.8 -16.109392 -51.277888 22630 1.569 8218938.19 470284.36
136.82 564.07 -16.10815 -51.277841 22630 -19.21 8219075.55 470289.23
137.52 559.48 -16.106912 -51.27781 22630 0.931 8219212.59 470292.31
140.79 561.15 -16.105678 -51.277802 22630 25.784 8219349.02 470293.02
142.16 564.01 -16.104453 -51.27781 22630 30.125 8219484.52 470291.95
149.69 565.76 -16.103237 -51.277821 22630 -25.072 8219619.11 470290.58
146.06 569.46 -16.102028 -51.277824 22630 -114.284 8219752.77 470290.1
128.13 574.86 -16.100837 -51.277816 22630 -155.638 8219884.59 470290.81
