ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
142.5 -327.07000000000005 -16.199778 -51.235955 22720 -147.29316370330713 -122.43118310186208 110.625 8208945.57 474779.93
145.08 -318.48 -16.200879999999998 -51.236021 22720 -110.49485659269729 -85.37591963243972 149.34 8208823.58 474772.94
108.2 -256.16999999999996 -16.200264 -51.231274 22730 -125.37889675632968 -106.44447596844577 135.251 8208892.37 475280.27
100.8 -264.57000000000005 -16.19925 -51.231291 22730 -133.2537443439933 -114.45553641420668 125.583 8209004.52 475278.36
103.14 -272.64 -16.19825 -51.231305 22730 -134.7040757511781 -116.04350915181455 122.365 8209115.14 475276.75
104.42 -279.91999999999996 -16.197255 -51.231313 22730 -124.02351679428094 -105.5069105701474 131.29 8209225.14 475275.74
107.47 -284.87 -16.196267000000002 -51.231305 22730 -127.49930545184849 -109.14715039562573 126.075 8209334.53 475276.51
122.83 -284.86 -16.195272 -51.231291 22730 -142.4645782249734 -124.28481864116884 109.363 8209444.53 475277.87
144.41 -279.97 -16.194267 -51.231266 22730 -157.2176599750905 -139.2261986616553 92.848 8209555.76 475280.41
156.39 -269.89 -16.193244 -51.231241 22730 -183.12331697929926 -165.32289886853718 65.15100000000001 8209668.84 475282.96
168.96 -255.51 -16.192203 -51.231219 22730 -202.07057914438883 -184.46053549863734 44.376999999999995 8209784.07 475285.2
178.02 -238.77999999999997 -16.191136 -51.231199 22730 -213.08564724484108 -195.66642899903863 31.49 8209902.07 475287.15
179.08 -222.27999999999997 -16.190039000000002 -51.231194 22730 -217.56849427193515 -200.32700617956064 25.076 8210023.44 475287.61
174.78 -206.49 -16.188919 -51.231199 22730 -220.9886930256386 -203.91402804715545 19.680999999999997 8210147.27 475286.87
162.09 -190.91999999999996 -16.187778 -51.231213000000004 22730 -230.58055796522189 -213.66551423086693 8.072000000000001 8210273.55 475285.24
144.08 -175.69000000000005 -16.186619 -51.231227000000004 22730 -239.82699815891218 -223.0743206009866 -3.221 8210401.68 475283.62
127.28 -162.33000000000004 -16.185442000000002 -51.231252000000005 22730 -236.79472695663893 -220.19306867862082 -2.274 8210531.96 475280.8
114.12 -150.64999999999998 -16.18425 -51.231277 22730 -233.5879306212313 -217.13947671912263 -1.177 8210663.78 475277.98
118.08 -143.74 -16.183044 -51.231302 22730 -215.46973114212838 -199.17653254368238 14.807 8210797.13 475275.15
114.79 -139.02999999999997 -16.181832999999997 -51.231324 22730 -208.07281311331786 -191.93946889121352 20.061 8210931.1 475272.63
110.46 -140.33000000000004 -16.180625 -51.231352 22730 -186.45875533503974 -170.47761268457288 39.535 8211064.75 475269.51
119.33 -146.27999999999997 -16.179431 -51.231388 22730 -151.1315876248367 -135.28981166901582 72.743 8211196.88 475265.5
133.74 -154.75 -16.178253 -51.231432 22730 -123.70072462247451 -107.98499806051628 98.081 8211327.15 475260.6
145.54 -165.09000000000003 -16.177094 -51.231477000000005 22730 -123.81994199993156 -108.22722839972926 95.90299999999999 8211455.28 475255.7
144.78 -178.0 -16.175957999999998 -51.231502 22730 -151.9261242076378 -136.47800876758487 65.785 8211580.95 475252.89
123.65 -191.64 -16.174842 -51.231507 22730 -179.18429710346726 -163.9026848996319 36.556999999999995 8211704.47 475252.16
117.9 -205.27999999999997 -16.173747 -51.231488 22730 -189.75043692707465 -174.66388614694418 24.07 8211825.54 475254.1
127.41 -217.60000000000002 -16.172669 -51.231455 22730 -170.62359119913611 -155.74735380736215 41.31100000000001 8211944.76 475257.53
124.42 -227.44000000000005 -16.171606 -51.231408 22730 -164.51062652338751 -149.86028855123197 45.568000000000005 8212062.45 475262.44
109.79 -233.73000000000002 -16.17055 -51.231355 22730 -157.6035491069068 -143.18500393112416 50.636 8212179.22 475267.95
120.89 -234.51 -16.169494 -51.231299 22730 -149.81358963092038 -135.6304366309016 56.588 8212295.99 475273.76
126.01 -229.94000000000005 -16.168433 -51.231246 22730 -132.31879771364748 -118.36830303504199 72.234 8212413.37 475279.27
148.75 -217.63 -16.167355999999998 -51.231196000000004 22730 -102.84342584528837 -89.12461506169204 99.83 8212532.6 475284.48
176.63 -201.42999999999995 -16.166261 -51.231155 22730 -78.87243466360151 -65.3772403802114 121.889 8212653.67 475288.8
184.3 -182.99 -16.165139 -51.231119 22730 -67.48231658875002 -54.20789604985248 131.316 8212777.81 475292.52
173.39 -164.57000000000005 -16.163994 -51.231096 22730 -49.33962881876005 -36.271581395807715 147.451 8212904.4 475294.75
160.9 -147.75 -16.162822 -51.231096 22730 -15.560059052494012 -2.674319840300683 179.165 8213034.07 475294.61
154.5 -132.40999999999997 -16.161631 -51.231105 22730 29.61410416921126 42.32528268777648 222.236 8213165.89 475293.57
146.85 -122.80999999999995 -16.160425 -51.231116 22730 70.78675121046743 83.32479750772697 261.28 8213299.24 475292.23
141.09 -117.33000000000004 -16.159217 -51.231124 22730 106.34921718865664 118.71009202823296 294.71 8213432.9 475291.19
138.8 -114.30999999999995 -16.158006 -51.231127 22730 129.41442142795393 141.59060617339233 315.64 8213566.87 475290.74
137.25 -112.17999999999995 -16.156797 -51.231127 22730 141.2035708492996 153.19190597819465 325.3 8213700.53 475290.59
136.18 -110.80999999999995 -16.155589000000003 -51.231124 22730 153.95776158424388 165.75463352827055 335.926 8213834.2 475290.74
136.55 -111.39999999999998 -16.154381 -51.231124 22730 167.69791100558953 179.30693333307283 347.537 8213967.86 475290.59
139.72 -114.80999999999995 -16.153183 -51.231121 22730 169.391354230734 180.81067280129915 347.12199999999996 8214100.29 475290.74
145.84 -120.42999999999995 -16.151992 -51.231121 22730 161.5742008956103 172.8082806136863 337.205 8214232.11 475290.59
153.13 -124.57000000000005 -16.150807999999998 -51.231116 22730 162.29103831179503 173.33411996887628 335.839 8214363.0 475291.03
152.31 -122.35000000000002 -16.149631 -51.231108 22730 170.25616527611714 181.10538084960396 341.73199999999997 8214493.29 475291.78
149.17 -115.48000000000002 -16.148445000000002 -51.231088 22730 172.1053871318971 182.74528786976052 341.499 8214624.49 475293.71
144.5 -107.80999999999995 -16.147253 -51.231069 22730 164.34248274256208 174.77218893082676 331.644 8214756.31 475295.64
139.72 -99.65999999999997 -16.146056 -51.231046 22730 160.51433416763265 170.72936671293292 325.715 8214888.75 475297.87
140.36 -91.45000000000005 -16.144853 -51.231021000000005 22730 169.3428194176548 179.33883339487338 332.434 8215021.8 475300.39
142.22 -82.69000000000005 -16.143645000000003 -51.230994 22730 172.94090122796015 182.71343173266564 333.914 8215155.46 475303.21
136.28 -74.80000000000001 -16.142428 -51.230977 22730 177.1132281679607 186.67523316744212 335.949 8215290.05 475304.84
129.05 -68.23000000000002 -16.141203 -51.230973999999996 22730 199.5247216593742 208.89265270993414 356.20300000000003 8215425.56 475304.99
120.92 -61.339999999999975 -16.13997 -51.230988 22730 226.54637765330065 235.7404198588767 381.046 8215561.98 475303.35
113.87 -56.02999999999997 -16.138735999999998 -51.231008 22730 242.49139151765462 251.518609468782 394.81 8215698.41 475301.12
111.04 -51.75 -16.137503 -51.23103 22730 249.3853640684099 258.2493713334146 399.522 8215834.83 475298.59
112.47 -49.329999999999984 -16.136275 -51.231049 22730 246.21050417786415 254.90856690239647 394.176 8215970.64 475296.36
112.1 -47.160000000000025 -16.13505 -51.23108 22730 253.05514190722857 261.6019774865248 398.85 8216106.14 475292.94
112.11 -43.94999999999999 -16.133828 -51.231102 22730 261.5186854564146 269.90404139966745 405.151 8216241.34 475290.41
110.46 -40.14999999999998 -16.132606 -51.231119 22730 257.323871135158 265.5406828518337 398.796 8216376.53 475288.47
106.13 -36.94 -16.131386 -51.231124 22730 239.98580742851541 248.02010306910321 379.30699999999996 8216511.42 475287.73
104.03 -33.5 -16.130167 -51.231116 22730 240.35122854869454 248.18525117486618 377.527 8216646.31 475288.47
102.72 -29.910000000000025 -16.128953 -51.231085 22730 245.08710343807397 252.69328347767976 380.13599999999997 8216780.59 475291.58
100.15 -26.579999999999984 -16.127742 -51.231035 22730 247.09341238523854 254.44709982990747 380.028 8216914.57 475296.78
101.32 -24.189999999999998 -16.126539 -51.230958 22730 235.83484308900574 242.90172365373002 366.681 8217047.62 475304.95
107.26 -22.20999999999998 -16.125335999999997 -51.230866 22730 217.94891787370224 224.71122043122034 346.712 8217180.68 475314.6
101.43 -16.439999999999998 -16.124139000000003 -51.230783 22730 194.4994354603574 200.96871788350091 321.186 8217313.12 475323.36
96.95 -12.850000000000023 -16.122934 -51.230734999999996 22730 191.84998859313112 198.0712575147032 316.431 8217446.48 475328.26
96.2 -12.759999999999991 -16.121728 -51.230733 22730 185.54824245061832 191.57848804431103 308.006 8217579.84 475328.41
98.58 -12.839999999999975 -16.120522 -51.230763 22730 172.93664054607072 178.81870961556785 293.258 8217713.19 475324.99
109.73 -34.73000000000002 -16.120206 -51.226524 22740 203.57556041154223 203.969513769541 325.02 8217748.72 475778.21
107.14 -35.72000000000003 -16.121289 -51.22651 22740 216.96021878225815 217.5048814798859 340.319 8217628.89 475779.82
102.41 -37.660000000000025 -16.122372 -51.22648 22740 228.82620677460272 229.50010251482752 354.106 8217509.06 475783.22
107.6 -41.18000000000001 -16.123456 -51.226455 22740 244.2983933832966 245.10860094558473 371.49699999999996 8217389.23 475786.03
114.6 -45.10000000000002 -16.124534 -51.22643 22740 260.73433175743696 261.6801055960642 389.842 8217270.01 475788.83
122.37 -49.170000000000016 -16.125606 -51.226408 22740 291.41022456231724 292.49416436338566 422.416 8217151.41 475791.34
122.83 -52.370000000000005 -16.126672 -51.226377 22740 303.18951531113123 304.40007739074247 436.087 8217033.42 475794.74
119.03 -53.670000000000016 -16.127739000000002 -51.226349 22740 283.8419240004541 285.18270773799816 418.63 8216915.43 475797.84
115.21 -54.14999999999998 -16.128803 -51.22633 22740 282.10162338876205 283.58298706542433 418.772 8216797.75 475800.04
118.56 -54.56 -16.12987 -51.226321999999996 22740 291.559745867598 293.19616691999056 430.11300000000006 8216679.76 475801.07
123.75 -55.579999999999984 -16.130934 -51.226327000000005 22740 307.101394926437 308.9104303945277 447.527 8216562.08 475800.6
126.34 -56.79000000000002 -16.132 -51.22636 22740 308.3479782000678 310.36559600643466 450.64 8216444.08 475797.17
131.37 -58.20999999999998 -16.13307 -51.226416 22740 309.69665284506925 311.95183373426687 453.851 8216325.78 475791.36
