 ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
114 143.01 -139.79999999999995 -16.109392 -51.277888 22630 -80.45998259629759 -15.838925609602697 1.569 8218938.19 470284.36
115 136.82 -134.07000000000005 -16.10815 -51.277840999999995 22630 -99.06961602498399 -34.70188817595079 -19.21 8219075.55 470289.23
116 137.52 -129.48000000000002 -16.106912 -51.277809999999995 22630 -76.75767520684941 -12.621346152523522 0.9309999999999999 8219212.59 470292.31
117 140.79 -131.14999999999998 -16.105678 -51.277802 22630 -49.7346171594849 14.199613722361322 25.784000000000002 8219349.02 470293.02
118 142.16 -134.01 -16.104453 -51.277809999999995 22630 -43.23173663077527 20.523071967272934 30.125 8219484.52 470291.95
119 149.69 -135.76 -16.103237 -51.277821 22630 -96.28023028566872 -32.69995339893654 -25.072 8219619.11 470290.58
120 146.06 -139.46000000000004 -16.102028 -51.277824 22630 -183.36185112977776 -119.96546454225665 -114.28399999999999 8219752.77 470290.1
121 128.13 -144.86 -16.100837 -51.277815999999994 22630 -222.6192092276943 -159.41837971358277 -155.638 8219884.59 470290.81
122 111.19 -150.14999999999998 -16.099659 -51.277807 22630 -219.0701297234289 -156.0627921660381 -154.161 8220014.87 470291.53
123 111.25 -154.70000000000005 -16.098487 -51.277799 22630 -222.68372745527196 -159.86889635024838 -159.83700000000002 8220144.54 470292.24
124 100.88 -154.33000000000004 -16.09732 -51.277796 22630 -210.04203759036386 -147.41187442357688 -149.25 8220273.59 470292.37
125 108.72 -145.76999999999998 -16.096148 -51.277788 22630 -114.76663532220715 -52.328978607788066 -56.037 8220403.26 470293.08
126 117.16 -134.20000000000005 -16.094967 -51.277782 22630 -55.771500999990096 6.4758232801127456 0.88 8220533.85 470293.5
127 119.88 -123.20000000000005 -16.093773000000002 -51.27778 22630 -32.84788285823713 29.210537459873255 21.7 8220665.97 470293.62
128 124.42 -112.86000000000001 -16.092564000000003 -51.277777 22630 -26.545739583349537 35.32159167676615 25.874000000000002 8220799.63 470293.74
129 123.75 -102.49000000000001 -16.091345 -51.27778 22630 -29.15077217176676 32.53092355012215 21.119 8220934.52 470293.26
130 118.69 -93.40999999999997 -16.090117000000003 -51.277784999999994 22630 -25.65587618731744 35.84246380477316 22.448 8221070.34 470292.48
131 111.47 -85.77999999999997 -16.088881 -51.277796 22630 -7.8002894624069015 53.52048238626166 38.121 8221207.07 470291.11
132 111.01 -78.88999999999999 -16.087639000000003 -51.277805 22630 3.7680530768799017 64.9067776887619 47.498000000000005 8221344.42 470290.04
133 106.62 -73.14999999999998 -16.086392 -51.277815999999994 22630 -16.84473467784863 44.114796530910624 24.683000000000003 8221482.38 470288.66
134 105.28 -69.79000000000002 -16.085145 -51.277832000000004 22630 -52.370323816242674 8.417092768862236 -13.047 8221620.34 470286.69
135 108.78 -68.44999999999999 -16.083901 -51.277852 22630 -64.3647691562534 -3.745547937737527 -27.241999999999997 8221757.99 470284.43
136 111.56 -66.64999999999998 -16.082659 -51.277871000000005 22630 -68.6279548549303 -8.176383355637835 -33.701 8221895.34 470282.16
137 106.13 -64.49000000000001 -16.081417000000002 -51.277877000000004 22630 -101.82388951026056 -41.55795043821091 -69.087 8222032.68 470281.39
138 105.34 -62.860000000000014 -16.080184 -51.277863 22630 -93.25803007921598 -33.20126795911533 -62.68899999999999 8222169.11 470282.69
139 99.67 -71.89999999999998 -16.080842 -51.272949 22640 -50.85631429565876 2.996305793391546 -17.18 8222096.99 470808.32
140 98.45 -73.75999999999999 -16.081867000000003 -51.272949 22640 -34.54449637936671 19.467198165890977 0.938 8221983.61 470808.47
141 100.58 -77.41000000000003 -16.082887 -51.272963 22640 -19.84441152443579 34.34336886963013 17.429000000000002 8221870.84 470807.13
142 102.11 -80.81 -16.083903 -51.272991 22640 -43.4898746188688 10.891308705346688 -4.436 8221758.38 470804.31
143 100.73 -82.16999999999996 -16.084914 -51.27303 22640 -32.47918871515677 22.108809552418577 8.341000000000001 8221646.53 470800.3
144 97.84 -82.71000000000004 -16.085928 -51.273069 22640 -45.665439688902325 9.129813379021472 -3.074 8221534.37 470796.29
145 97.23 -83.27999999999997 -16.086942 -51.273096 22640 -71.00512516000053 -16.016894829979172 -26.638 8221422.21 470793.47
146 100.58 -85.75 -16.087953 -51.273121 22640 -76.77195442946702 -21.59466609441479 -30.633000000000003 8221310.36 470790.94
147 103.02 -89.63 -16.088962 -51.273140999999995 22640 -98.82508270250933 -43.46637497819387 -50.917 8221198.82 470789.01
148 106.68 -92.58000000000004 -16.08997 -51.273152 22640 -123.03452753239523 -67.50507857767572 -73.354 8221087.28 470787.97
149 110.95 -93.23000000000002 -16.090978 -51.273154999999996 22640 -144.2262889191249 -88.53677689286306 -92.77 8220975.74 470787.82
150 114.3 -92.24000000000001 -16.091989 -51.273146000000004 22640 -134.5422624265423 -78.70653919893493 -81.301 8220863.9 470788.86
151 107.14 -89.50999999999999 -16.093009 -51.273109999999996 22640 -138.4259549232496 -82.47834896823939 -83.374 8220751.14 470792.87
152 101.5 -86.26999999999998 -16.094037 -51.273055 22640 -150.93204985237332 -94.89621148504548 -94.04700000000001 8220637.46 470798.96
153 96.01 -85.52999999999997 -16.09507 -51.272988 22640 -148.06745303374953 -91.95678007837851 -89.335 8220523.16 470806.24
154 85.95 -86.52999999999997 -16.096106 -51.272923999999996 22640 -157.89655316264995 -101.70714055110496 -97.31299999999999 8220408.56 470813.23
155 91.6 -83.89999999999998 -16.097153 -51.272874 22640 -191.14568910935068 -134.85791468497774 -128.697 8220292.73 470818.73
156 95.1 -77.81 -16.098209 -51.272843 22640 -176.1478846342272 -119.73547312895212 -111.82700000000001 8220175.97 470822.15
157 93.11 -69.94999999999999 -16.099284 -51.27283 22640 -172.9806866793274 -116.41923115438964 -106.76 8220057.06 470823.79
158 87.78 -62.23000000000002 -16.10037 -51.272838 22640 -179.386245250083 -122.64556536928028 -111.255 8219936.92 470823.06
159 86.87 -59.579999999999984 -16.101473000000002 -51.272871 22640 -150.02131616089918 -93.06675249466215 -79.96 8219814.93 470819.66
160 91.14 -60.69999999999999 -16.102578 -51.272923999999996 22640 -142.36753563027779 -85.17357264519626 -70.37899999999999 8219692.63 470814.17
161 95.4 -63.30000000000001 -16.103680999999998 -51.272993 22640 -100.54838162731745 -43.094208653037946 -26.644000000000002 8219570.63 470806.91
162 92.35 -64.57999999999998 -16.104784 -51.273074 22640 -39.24563387289691 18.483012439896466 36.57 8219448.64 470798.46
163 87.78 -64.79000000000002 -16.105892 -51.273146000000004 22640 -5.433076430204849 52.56024477621742 72.307 8219326.03 470790.9
164 92.66 -66.38999999999999 -16.106998 -51.27321 22640 16.850942078963655 75.09783435210385 96.514 8219203.72 470784.23
165 91.44 -69.33999999999997 -16.108103 -51.27326 22640 35.46460466907597 93.94729688166989 117.056 8219081.42 470779.04
166 94.18 -73.14999999999998 -16.109206 -51.273299 22640 -7.969230360721809 50.73454439608771 75.55 8218959.43 470775.04
167 102.41 -78.94999999999999 -16.1103 -51.273309999999995 22640 -36.04435963388671 22.843424260892068 49.398999999999994 8218838.37 470774.02
168 114.6 -86.29999999999995 -16.111387 -51.273296 22640 -52.881749934664406 6.156823218791164 34.481 8218718.23 470775.66
169 132.28 -96.09000000000003 -16.112455999999998 -51.273263 22640 -36.03842927906161 23.123352482970752 53.222 8218599.94 470779.38
170 138.68 -105.73000000000002 -16.113517 -51.273221 22640 -23.842933056190674 35.43008796246943 67.304 8218482.56 470783.99
171 143.71 -115.29999999999995 -16.114559 -51.273171000000005 22640 -22.98019524800651 36.390307869507325 70.02199999999999 8218367.35 470789.49
172 149.05 -125.08000000000004 -16.115595000000003 -51.273123999999996 22640 -20.93178425262863 38.53894900702526 73.915 8218252.74 470794.69
173 155.6 -133.5 -16.11662 -51.27308 22640 -12.712545071640562 46.86013830228215 83.958 8218139.37 470799.6
174 164.53 -140.70000000000005 -16.117639 -51.273038 22640 -2.5835954387901268 57.09390607200133 95.9 8218026.6 470804.2
175 173.66 -149.01999999999998 -16.118648 -51.27303 22640 5.61836793124985 65.44164078639845 105.882 8217915.07 470805.24
176 186.68 -159.35000000000002 -16.119648 -51.273052 22640 8.91000897695153 68.91699521872637 110.927 8217804.45 470803.01
177 189.73 -171.25 -16.120634 -51.273102 22640 6.820083512720089 67.04424609002503 110.555 8217695.36 470797.81
178 196.8 -182.69000000000005 -16.121609 -51.273168 22640 2.344416682537158 62.805486653390325 107.771 8217587.5 470790.82
179 204.8 -192.09000000000003 -16.122573000000003 -51.27323 22640 -0.03589777297210617 60.65313559363294 107.065 8217480.87 470784.43
180 206.85 -199.73000000000002 -16.123534 -51.273293 22640 -3.1811574105297353 57.73899887423077 105.588 8217374.55 470777.74
181 207.84 -207.13 -16.124489 -51.273352 22640 -4.115901163629928 57.02743373477656 106.314 8217268.84 470771.64
182 204.87 -214.66999999999996 -16.125439 -51.273391 22640 -2.7475594807105637 58.592998640944494 109.34100000000001 8217163.75 470767.63
183 198.85 -221.92999999999995 -16.126375 -51.273405 22640 -6.683764324611857 54.819931615958 107.04899999999999 8217060.19 470766.28
184 194.75 -230.0 -16.127306 -51.273413 22640 -23.019134775854994 38.63972630125277 92.35 8216957.26 470765.52
185 202.82 -238.87 -16.128225 -51.273416 22640 -43.90531210653222 17.899784298252307 73.083 8216855.55 470765.36
186 212.94 -247.47000000000003 -16.129139000000002 -51.27341 22640 -56.75293223915335 5.186841620471583 61.848 8216754.46 470766.09
187 220.94 -254.17999999999995 -16.130045000000003 -51.273377 22640 -63.192809350472274 -1.1553114629376324 57.016999999999996 8216654.3 470769.79
188 233.04 -260.33000000000004 -16.13095 -51.27333 22640 -62.29436088907745 -0.17688172302688088 59.53 8216554.13 470774.97
189 235.09 -266.32000000000005 -16.131853 -51.27328 22640 -54.71393423662683 7.479472782624626 68.721 8216454.28 470780.45
190 231.05 -272.33000000000004 -16.132759 -51.273243 22640 -44.55405127787914 17.73361455813891 80.491 8216354.11 470784.44
191 232.04 -279.87 -16.133661 -51.27323 22640 -31.043399711666808 31.366520181318805 95.598 8216254.25 470786.06
192 235.09 -288.83000000000004 -16.134559 -51.273232 22640 -13.277204012183532 49.2755665208263 114.944 8216155.01 470785.89
193 241.1 -298.30999999999995 -16.13545 -51.273263 22640 9.011577280340703 71.74186099392804 138.792 8216056.37 470782.76
194 247.19 -307.65 -16.136336 -51.273315999999994 22640 36.44897933303196 99.38458575797183 167.77 8215958.34 470777.24
195 245.2 -317.13 -16.137217 -51.273371000000004 22640 61.74933581644851 124.89286463884298 194.6 8215860.93 470771.43
196 241.1 -325.9 -16.138097 -51.273418 22640 77.08137574302106 140.42214880401139 211.465 8215763.52 470766.51
197 236.08 -333.35 -16.138972 -51.273454 22640 83.25469567303307 146.7775699093271 219.166 8215666.72 470762.78
198 221.0 -340.19000000000005 -16.139847 -51.273491 22640 82.45717485715286 146.16213607981717 219.896 8215569.93 470759.05
199 196.8 -345.76 -16.14072 -51.273499 22640 73.76152330768952 137.6124978037663 212.734 8215473.45 470758.29
200 174.58 -352.38 -16.141586 -51.273503999999996 22640 60.2335055831779 124.22614842754957 200.731 8215377.58 470757.82
201 157.88 -359.82000000000005 -16.142453 -51.273507 22640 44.97436991815721 109.10508173143208 186.998 8215281.71 470757.65
202 140.21 -365.98 -16.143314 -51.273499 22640 25.185673510683728 89.43929704063812 168.73 8215186.46 470758.67
203 129.99 -371.47 -16.144172 -51.273485 22640 4.164556110209958 68.53358690932133 149.227 8215091.51 470760.28
204 118.87 -377.71000000000004 -16.145031 -51.273466 22640 -11.223637917159039 53.253587203391916 135.359 8214996.57 470762.49
205 116.28 -384.08000000000004 -16.145885999999997 -51.273435 22640 -26.046451553877446 38.5243846611249 122.056 8214901.93 470765.88
206 113.39 -389.62 -16.146739 -51.273396000000005 22640 -42.868485615859754 21.78482948881033 106.75200000000001 8214807.61 470770.16
207 109.27 -396.07000000000005 -16.147585999999997 -51.273334999999996 22640 -66.19967417177071 -1.4933007789732216 84.93799999999999 8214713.9 470776.82
208 106.98 -402.22 -16.148433999999998 -51.273277 22640 -84.85874478717234 -20.095713726856857 67.795 8214620.19 470783.18
209 112.47 -407.26 -16.149281 -51.273218 22640 -102.43481540257373 -37.615126674739614 51.735 8214526.48 470789.54
210 108.2 -412.71000000000004 -16.150125 -51.273149 22640 -105.58538363788591 -40.72375463777147 50.1 8214433.08 470797.09
211 98.14 -417.01 -16.150972 -51.273077 22640 -109.21884743704172 -44.318451875985076 47.988 8214339.38 470804.94
212 85.65 -421.96000000000004 -16.151822 -51.273013 22640 -114.17105354622063 -49.22063924012791 44.559 8214245.36 470811.89
213 86.72 -428.40999999999997 -16.152675 -51.272949 22640 -125.66107454343256 -60.66033580356217 34.597 8214151.04 470818.85
214 86.26 -435.08000000000004 -16.153528 -51.272890999999994 22640 -141.2440189137341 -76.18574279237109 20.54 8214056.71 470825.21
215 89.16 -438.83000000000004 -16.154392 -51.272859999999994 22640 -133.03432467456466 -67.88114626565901 30.284000000000002 8213961.16 470828.6
216 102.41 -438.84000000000003 -16.155264000000003 -51.272832 22640 -118.01236039192706 -52.75948072443906 46.854 8213864.68 470831.7
